gene	ensembl_id	phenotype	trait_type	n_cases	burden_set	P_SKATO	P_Burden	P_SKAT	BETA	n_variants
LZTFL1	ENSG00000163818	N18 chronic renal failure	icd_first_occurrence	14086	pLoF	0.158077799967765	0.254479296894865	0.08826033476174	0.0341632534630971	17
NEK8	ENSG00000160602	Creatinine (enzymatic) in urine	continuous	383774	pLoF	0.158236090273008	0.0995828786884252	0.145057457604368	-0.00336842622528232	39
CC2D2A	ENSG00000048342	Creatinine	continuous	376624	pLoF	0.160484828095781	0.3231721005755	0.0912661209564856	0.000929747460573702	136
ALG9	ENSG00000086848	N28 other disorders of kidney and ureter	icd_first_occurrence	5275	pLoF	0.163012456840888	0.125912399196671	0.112215691311387	0.0431608287919142	46
INVS	ENSG00000119509	I12 hypertensive renal disease	icd_first_occurrence	1513	pLoF	0.171066636858059	0.113251526907134	0.141867767325762	0.0450860018002073	84
TMEM237	ENSG00000155755	N18 chronic renal failure	icd_first_occurrence	14086	pLoF	0.171877001714174	0.976835861908773	0.0988401068444691	8.73785935209393e-05	44
NPHP3	ENSG00000113971	N19 unspecified renal failure	icd_first_occurrence	2345	pLoF	0.173465047710416	0.0971666562315056	0.821235596234837	-0.0271557431443402	115
MKS1	ENSG00000011143	Q61 cystic kidney disease	icd_first_occurrence	735	pLoF	0.173532572047014	0.535291061839157	0.0980026150397768	0.0316629959462617	48
MKS1	ENSG00000011143	I12 hypertensive renal disease	icd_first_occurrence	1513	pLoF	0.17379069305161	0.455898445876372	0.096255201906053	0.0256418502509882	48
INVS	ENSG00000119509	N23 unspecified renal colic	icd_first_occurrence	4304	pLoF	0.177279050634903	0.114805364912211	0.145998898957514	0.0271760398607093	84
BBS2	ENSG00000125124	Urea	continuous	376551	pLoF	0.184990325981274	0.235307330074793	0.109890381260342	0.00155312711849118	63
TMEM67	ENSG00000164953	Creatinine	continuous	376624	pLoF	0.186435970065132	0.106680786404431	0.654840591773838	0.00161110089633175	86
TMEM216	ENSG00000187049	Creatinine (enzymatic) in urine	continuous	383774	pLoF	0.192214120329086	0.14069740396005	0.224541950414046	-0.00376007223350904	13
DYNC2I1	ENSG00000126870	Creatinine (enzymatic) in urine	continuous	383774	pLoF	0.192223831757859	0.105244298742803	0.427853854193942	0.00322650081770111	87
TMEM67	ENSG00000164953	Creatinine (enzymatic) in urine	continuous	383774	pLoF	0.193032574723891	0.110618197445731	0.277456947638237	0.00190028250972425	86
TMEM237	ENSG00000155755	Creatinine	continuous	376624	pLoF	0.197806081566311	0.18638335543966	0.115251180413496	-0.001986706780852	44
INVS	ENSG00000119509	C64 Malignant neoplasm of kidney	icd10	985	pLoF	0.207137716527923	0.507515366374713	0.117208910844566	0.0221873868437632	84
PKD1	ENSG00000008710	Creatinine (enzymatic) in urine	continuous	383774	pLoF	0.208159615968693	0.130316842677664	0.700363023270346	-0.00288531606245637	92
TMEM67	ENSG00000164953	Cystatin C	continuous	376784	pLoF	0.209322435295962	0.120341092885892	0.748052137263676	0.00174710485010575	86
BBS10	ENSG00000179941	Urea	continuous	376551	pLoF	0.209792834858955	0.360856146188309	0.156560874884363	0.00239988348520131	14
BBS9	ENSG00000122507	Cystatin C	continuous	376784	pLoF	0.211978031024342	0.133763562448966	0.163897520958535	0.00265960743445507	61
BBS4	ENSG00000140463	Urea	continuous	376551	pLoF	0.215798476553962	0.325569071562702	0.125321985389605	-0.00216429745867683	48
IFT122	ENSG00000163913	N17 acute renal failure	icd_first_occurrence	7312	pLoF	0.218191100493134	0.233546446568236	0.131706199764402	-0.0121365838358507	101
DNAJB11	ENSG00000090520	Microalbumin in urine	continuous	119013	pLoF	0.218624461830897	0.12873467077879	0.81910323768374	0.0189412955887104	25
CEP290	ENSG00000198707	N17 acute renal failure	icd_first_occurrence	7312	pLoF	0.218871900701511	0.151136938627256	0.160249579912447	0.00873446451743263	253
PKD2	ENSG00000118762	Creatinine (enzymatic) in urine	continuous	383774	pLoF	0.221068547384889	0.124249645073431	0.582170575949602	-0.00627609773144995	39
AHI1	ENSG00000135541	N04 nephrotic syndrome	icd_first_occurrence	242	pLoF	0.222189709394087	0.554653609429275	0.127304066183465	0.0299117551103686	99
LZTFL1	ENSG00000163818	Creatinine	continuous	376624	pLoF	0.222875034050706	0.489772321841911	0.127775225132521	0.00357126465774801	17
TMEM216	ENSG00000187049	C64 Malignant neoplasm of kidney	icd10	985	pLoF	0.223490388617718	0.570284806862947	0.153909160215063	0.0283220489508976	13
TMEM231	ENSG00000205084	Creatinine	continuous	376624	pLoF	0.224304990105235	0.308858265161326	0.127120690532618	-0.00306819101962206	31
BBS9	ENSG00000122507	N20 calculus of kidney and ureter	icd_first_occurrence	5879	pLoF	0.225183830442073	0.909714570891325	0.128249700020113	-0.00175458257196716	61
BBS7	ENSG00000138686	N18 chronic renal failure	icd_first_occurrence	14086	pLoF	0.227114992006759	0.131504336759173	0.386843535658524	0.0200967437058468	39
BBIP1	ENSG00000214413	Creatinine (enzymatic) in urine	continuous	383774	pLoF	0.228290856425413	0.160484783374748	0.290449876921164	-0.00653813434174627	8
LZTFL1	ENSG00000163818	Cystatin C	continuous	376784	pLoF	0.229111644453852	0.510334985029969	0.131625574231509	0.00383549270979835	17
BBIP1	ENSG00000214413	N18 chronic renal failure	icd_first_occurrence	14086	pLoF	0.236590505421289	0.252431394101437	0.16182624151044	0.0268234390966816	8
SDCCAG8	ENSG00000054282	Creatinine (enzymatic) in urine	continuous	383774	pLoF	0.237006307753085	0.138722960113483	0.487822730374642	-0.00316480281036721	59
RPGRIP1L	ENSG00000103494	Creatinine	continuous	376624	pLoF	0.239467413744401	0.137268438846119	0.285189366247557	0.0022370065429525	96
IFT172	ENSG00000138002	Cystatin C	continuous	376784	pLoF	0.239557802156017	0.361491301034811	0.133854450847267	-0.00139177077247675	123
BBS7	ENSG00000138686	N17 acute renal failure	icd_first_occurrence	7312	pLoF	0.244204669683429	0.621437381934049	0.141799455660065	0.00870444736386752	39
IFT172	ENSG00000138002	Creatinine	continuous	376624	pLoF	0.245704281800463	0.222013650115346	0.139132246289635	-0.00165305991660401	123
SDCCAG8	ENSG00000054282	Creatinine	continuous	376624	pLoF	0.256470615119532	0.167378819973158	0.17457477182705	0.00249029775019603	59
LZTFL1	ENSG00000163818	N28 other disorders of kidney and ureter	icd_first_occurrence	5275	pLoF	0.258088629095265	0.59401572248324	0.151653854947079	0.0258668955839291	17
NEK8	ENSG00000160602	N08 glomerular disorders in dis. class. elsewhere	icd_first_occurrence	531	pLoF	0.261398358525162	0.478163394726943	0.162183349862015	0.0383928227128312	39
BBS1	ENSG00000174483	N28 other disorders of kidney and ureter	icd_first_occurrence	5275	pLoF	0.263277802411351	0.383822038761841	0.14927453810928	0.0240871256101139	48
TMEM67	ENSG00000164953	N20 calculus of kidney and ureter	icd_first_occurrence	5879	pLoF	0.267091567608358	0.658431295233677	0.154761769455676	0.00455828129986214	86
BBS10	ENSG00000179941	N19 unspecified renal failure	icd_first_occurrence	2345	pLoF	0.269425979739814	0.799984991473522	0.195982186636224	-0.00864496389069566	14
TMEM231	ENSG00000205084	N23 unspecified renal colic	icd_first_occurrence	4304	pLoF	0.26983288161331	0.425500817793238	0.155655675255278	0.0283894439492297	31
BBS10	ENSG00000179941	N23 unspecified renal colic	icd_first_occurrence	4304	pLoF	0.27453442107326	0.300035411141132	0.20882028843443	0.0270682965825096	14
CEP290	ENSG00000198707	Urea	continuous	376551	pLoF	0.275226443929729	0.698500618946402	0.153860708348835	0.000303089231021256	253
CEP290	ENSG00000198707	Creatinine	continuous	376624	pLoF	0.275433905072381	0.751948128358756	0.154574336846349	0.000205965512281422	253
MKKS	ENSG00000125863	N19 unspecified renal failure	icd_first_occurrence	2345	pLoF	0.280230663456621	0.678671906868333	0.16353392006246	0.0185230501746872	37
IFT172	ENSG00000138002	C64 Malignant neoplasm of kidney	icd10	985	pLoF	0.280560659441006	0.621671514278162	0.15925421501893	0.0157320910534132	123
BBS2	ENSG00000125124	N19 unspecified renal failure	icd_first_occurrence	2345	pLoF	0.283057800039512	0.173462764105216	0.737977361136894	-0.024442445813055	63
DYNC2I1	ENSG00000126870	Microalbumin in urine	continuous	119013	pLoF	0.284087034162788	0.166784949595148	0.28141959617016	0.00527367049766099	87
IFT122	ENSG00000163913	I12 hypertensive renal disease	icd_first_occurrence	1513	pLoF	0.28500339119182	0.670806052964361	0.171115657124972	0.009090403303488	101
CEP290	ENSG00000198707	Microalbumin in urine	continuous	119013	pLoF	0.285519318356925	0.168207620240255	0.273835842175981	0.00201619950959487	253
BBS9	ENSG00000122507	N17 acute renal failure	icd_first_occurrence	7312	pLoF	0.287830905023325	0.167211678079286	0.99650983130985	-0.0201472097268034	61
TTC8	ENSG00000165533	Creatinine	continuous	376624	pLoF	0.290328990230258	0.35985662116243	0.171105395821079	0.00263947085490663	28
TMEM216	ENSG00000187049	N20 calculus of kidney and ureter	icd_first_occurrence	5879	pLoF	0.303875428543099	0.390102952494897	0.216689700958056	-0.0183601043116969	13
TMEM67	ENSG00000164953	C64 Malignant neoplasm of kidney	icd10	985	pLoF	0.304853091911825	0.630534916517301	0.178130555951266	0.0116055371363902	86
TMEM237	ENSG00000155755	Q63 other congenital malformations of kidney	icd_first_occurrence	452	pLoF	0.306947603541633	0.491289113596355	0.182219110026174	0.0377306744850085	44
TMEM67	ENSG00000164953	N23 unspecified renal colic	icd_first_occurrence	4304	pLoF	0.310461385358932	0.943142541335777	0.182142839948161	0.000814406907672941	86
IFT122	ENSG00000163913	Q63 other congenital malformations of kidney	icd_first_occurrence	452	pLoF	0.310983733570641	0.750971242516487	0.189742339745544	0.0123807625948509	101
