disease_id	has_chd	has_kidney	has_ckd	n_terms	n_systems
OMIM:125310	0	0	0	28	7
OMIM:125350	0	0	0	4	1
OMIM:125370	0	0	0	17	1
OMIM:125400	0	0	0	8	2
OMIM:125420	0	0	0	5	2
OMIM:125490	0	0	0	3	2
OMIM:125500	0	0	0	6	2
OMIM:125595	0	0	0	9	3
OMIM:125630	0	0	0	5	2
OMIM:125700	0	0	0	9	5
OMIM:125800	0	0	0	18	6
OMIM:125850	0	0	0	3	3
OMIM:125851	0	0	0	3	2
OMIM:125852	0	0	0	3	2
OMIM:125853	0	0	0	5	3
OMIM:126200	0	0	0	12	5
OMIM:126550	0	0	0	13	7
OMIM:126600	0	0	0	4	1
OMIM:126700	0	0	0	6	1
OMIM:127000	0	0	0	24	9
OMIM:127300	0	0	0	26	5
OMIM:127400	0	0	0	3	1
OMIM:127500	0	0	0	3	1
OMIM:127550	0	0	0	31	10
OMIM:127700	0	0	0	3	1
OMIM:127750	0	0	0	7	1
OMIM:128100	0	0	0	29	5
OMIM:128101	0	0	0	14	6
OMIM:128200	0	0	0	8	1
OMIM:128230	0	0	0	25	6
OMIM:128235	0	0	0	21	4
OMIM:129200	0	0	0	16	3
OMIM:129400	0	0	0	46	10
OMIM:129490	0	0	0	14	3
OMIM:129500	0	0	0	27	8
OMIM:129600	1	0	0	24	7
OMIM:130000	1	0	0	35	13
OMIM:130010	0	0	0	19	8
OMIM:130050	1	0	0	53	16
OMIM:130060	0	0	0	28	9
OMIM:130070	0	0	0	53	8
OMIM:130080	0	0	0	32	12
OMIM:130600	0	0	0	5	2
OMIM:130650	1	1	0	34	15
OMIM:130720	1	0	0	55	11
OMIM:130900	0	0	0	4	2
OMIM:131100	0	0	0	24	9
OMIM:131300	0	0	0	30	12
OMIM:131705	0	0	0	8	2
OMIM:131750	0	0	0	9	2
OMIM:131760	0	0	0	15	6
OMIM:131800	0	0	0	6	2
OMIM:131850	0	0	0	8	2
OMIM:131900	0	0	0	8	3
OMIM:131950	0	0	0	5	3
OMIM:131960	0	0	0	13	2
OMIM:132000	0	0	0	8	2
OMIM:132400	0	0	0	23	5
OMIM:132450	0	0	0	14	6
OMIM:132600	0	0	0	2	2
OMIM:132700	0	0	0	3	2
