gene_symbol
-
ABCC6
ABCC8
ABCG5
ABCG8
ACSL4
ACTB
ACTG2
ADA2
ADAMTS3
ADAT3
ADNP
AFF4
AGPAT2
AHI1
AIP
AKT3
ALDH18A1
ALG5
ALG8
ALG9
ALKBH8
ALMS1
AMER1
AMMECR1
AMOTL1
ANKS6
APC2
APOA1
APOB
APTX
ARID1A
ARID1B
ARID2
ARL3
ARL6
ARSK
ARVCF
ARX
ASXL2
ATN1
ATP5F1A
ATP5F1D
ATP5F1E
ATP5MK
ATP6V1B2
ATP6V1E1
ATPAF2
ATRX
B2M
B3GALT6
B3GLCT
B9D1
B9D2
BAP1
BAZ1B
BBIP1
BBS1
BBS10
BBS12
BBS2
BBS4
BBS5
BBS7
BBS9
BCOR
BCS1L
BICC1
BICRA
BMP4
BRAF
BRCA1
BRCA2
BRD4
BRF1
BRIP1
BSCL2
BUB1
BUB1B
BUB3
BUD23
C2CD3
C4A
CACHD1
CACNA1D
CACNA1E
CAMK2A
CAPN15
CASK
CASZ1
CBL
CC2D2A
CCBE1
CCDC22
CCND1
CCND2
CCNQ
CCR1
CD96
CDC42
CDC42BPB
CDKL5
CDKN1C
CDON
CENPE
CEP120
CEP19
CEP290
CEP41
CEP57
CFAP418
CFTR
CHD7
CHRM3
CHST14
CHUK
CILK1
CIROZ
CLCN3
CLCN7
CLCNKB
CLIP2
CLPB
COG1
COG6
COG7
COL18A1
COL7A1
COMT
COQ2
COQ7
COX14
CPLANE1
CPT2
CRB2
CREBBP
CRELD1
CRIPTO
CSPP1
CTLA4
CTU2
CWC27
DACT1
DBR1
DCHS1
DDX59
DDX6
DEPDC5
DHCR7
DISP1
DLG5
DLK1
DLL1
DLL4
DMRT2
DMXL2
DNA2
DNAJB11
DNAJC21
DNAJC30
DNASE1
DNASE1L3
DNMT3A
DPF2
DPH1
DPH2
DPYSL5
DSE
DVL1
DYNC2I1
DYNC2LI1
DYRK1A
EBF3
EBP
EDNRA
EHMT1
EIF4H
ELN
EMILIN1
ENPP1
EP300
EPG5
ERAP1
ERBB3
ERCC4
ERCC6
ERCC8
ERI1
ESCO2
ETFA
ETFB
ETFDH
EVC
EVC2
EXTL3
FAAP100
FAH
FAM149B1
FANCA
FANCB
FANCC
FANCD2
FANCE
FANCF
FANCG
FANCI
FANCL
FANCM
FAS
FAT4
FBLN5
FBN1
FBXL4
FBXO22
FBXW11
FCGR2A
FCGR2B
FGF13
FGF8
FGFR1
FGFR2
FGFR3
FH
FIBP
FIG4
FKBP6
FKRP
FKTN
FLCN
FLI1
FLNA
FLNB
FLVCR1
FOCAD
FOXC2
FOXF1
FOXH1
FRAS1
FREM1
FRYL
FUT8
G6PC3
GABRD
GANAB
GAS1
GATA1
GATA3
GBE1
GCK
GDF3
GDF6
GGCX
GINS3
GLA
GLI1
GLI2
GLI3
GNAO1
GNB2
GNPTAB
GP1BB
GPC3
GPC4
GRB10
GRIN1
GRM7
GSN
GTF2I
GTF2IRD1
GTF2IRD2
H4C3
H4C9
HAAO
HDAC4
HDAC8
HEATR3
HFE
HGD
HIRA
HLA-B
HLA-DPA1
HLA-DPB1
HLA-DRB1
HNRNPK
HNRNPU
HOXA13
HOXD13
HRAS
HSD11B2
HSPA9
HSPG2
HYLS1
IDH1
IFNG
IFNGR1
IFT122
IFT140
IFT172
IFT27
IFT56
IFT74
IGF2
IL10
IL12A
IL12A-AS1
IL12B
IL23R
IL6
INPP5E
INS
INSR
INTS1
INTU
INVS
IPO8
IQSEC2
IRAK1
ITPR1
JAG1
JAM3
JKAMP
JMJD1C
KANSL1
KAT5
KAT6A
KAT6B
KCNA1
KCNAB2
KCNE5
KCNH1
KCNJ11
KCNJ2
KCNJ5
KCNQ1
KCNQ1OT1
KCTD1
KDM1A
KDM2B
KDM6A
KDM6B
KIAA0586
KIAA0753
KIF7
KLRC4
KMT2A
KMT2D
KRAS
KYNU
LACC1
LAMA3
LAMA5
LAMB2
LAMB3
LAMC2
LDLR
LDLRAP1
LEMD3
LIG4
LIMK1
LMBRD1
LMNA
LMNB1
LMOD1
LONP1
LRP5
LRRC7
LTBP4
LUZP1
LZTFL1
LZTR1
MAD2L2
MAP2K1
MAP2K2
MAP3K7
MAPK1
MASP1
MAU2
MAX
MBTPS2
MCTP2
MED11
MED12
MED16
MED25
MEFV
MEG3
MEN1
MEOX1
METTL27
MGME1
MID1
MIF
MKKS
MKS1
MLX
MLXIPL
MMACHC
MMP1
MMP23B
MMUT
MRAS
MRPL3
MRPS22
MT-ATP6
MT-ATP8
MT-CO1
MT-CO2
MT-CO3
MT-CYB
MT-ND1
MT-ND2
MT-ND3
MT-ND4
MT-ND5
MT-ND6
MT-TF
MT-TH
MT-TK
MT-TL1
MT-TQ
MT-TS1
MT-TS2
MT-TV
MT-TW
MTX2
MYCN
MYH11
MYLK
MYMK
MYOCD
MYRF
NAA10
NADSYN1
NCAPG2
NCF1
NDUFAF3
NEK1
NEK8
NEUROD2
NF1
NIPBL
NOD2
NODAL
NOTCH2
NPHP1
NPHP3
NR6A1
NRAS
NSD1
NSD2
NSDHL
NSUN2
NUP107
NXN
OFD1
OTUD5
PACS1
PAH
PALB2
PAN2
PBX1
PCSK9
PDE6D
PDHA1
PDPN
PDX1
PEX1
PEX10
PEX11B
PEX12
PEX13
PEX14
PEX16
PEX19
PEX2
PEX26
PEX3
PEX5
PEX6
PGAP2
PGM1
PHGDH
PI4KA
PIEZO2
PIGA
PIGL
PIGN
PIGO
PIGP
PIGQ
PIGT
PIGV
PIK3CA
PIK3R2
PKD1
PKD2
PLD1
PLD4
PLEC
PLVAP
PMM2
PNKP
PNPLA2
POGZ
POLE
POLR1A
POLR3A
POMT1
POMT2
POR
PORCN
PPFIBP1
PPP2R3C
PQBP1
PRDM16
PRIM1
PRKACA
PRKACB
PRKAG2
PRKAR1A
PRKCSH
PRKCZ
PRTN3
PSMC1
PSMD12
PTBP1
PTCH1
PTPN11
PTPN22
PUF60
RAB23
RAB3GAP2
RAD21
RAD51
RAD51C
RAF1
RAI1
RAP1B
RASA2
RBM10
RBM8A
RBSN
RECQL4
RERE
RFC2
RFWD3
RFX7
RHOBTB2
RIPK4
RIT1
RMND1
RNU2-2
RNU4ATAC
RNU7-1
ROBO1
ROR2
RPGRIP1
RPGRIP1L
RPL11
RPL15
RPL18
RPL26
RPL27
RPL31
RPL35
RPL35A
RPL5
RPL8
RPL9
RPS10
RPS15A
RPS17
RPS19
RPS20
RPS24
RPS26
RPS27
RPS28
RPS29
RPS7
RRAGD
RRAS
RRAS2
RREB1
RSPO2
RTL1
RTTN
SAA1
SALL1
SALL4
SBDS
SCAF4
SCAPER
SCLT1
SCN1B
SCN2A
SDCCAG8
SDHA
SDHB
SDHD
SEC24C
SEC63
SEMA3E
SETBP1
SF3B2
SF3B4
SGSM3
SH2B1
SHANK3
SHH
SHOC2
SIK1
SIX3
SKI
SKIC2
SKIC3
SLC12A3
SLC25A22
SLC29A3
SLC32A1
SLC34A2
SLC35A2
SLC37A4
SLC4A1
SLC7A7
SLX4
SMARCA4
SMARCB1
SMARCC2
SMARCD1
SMARCE1
SMC1A
SMC3
SNRPB
SON
SOS1
SOS2
SOX11
SOX17
SOX4
SOX9
SPECC1L
SPEN
SPINK5
SPOP
SPP1
SPRED1
SPRED2
SRCAP
SRP54
SRY
STAG1
STAT1
STAT4
STIL
STRA6
STRADA
STX1A
SUCLG1
SUFU
TAPT1
TASP1
TBC1D24
TBC1D32
TBC1D7
TBCK
TBL2
TBX1
TBX22
TBX3
TBX4
TCTN1
TCTN2
TCTN3
TGFB1
TGIF1
THOC6
TKT
TLR4
TM2D3
TMCO1
TMEM107
TMEM216
TMEM218
TMEM231
TMEM237
TMEM260
TMEM270
TMEM67
TNXB
TOGARAM1
TOPORS
TP63
TRA2B
TREX1
TRIM32
TRIM8
TRIP13
TRNT1
TRRAP
TSC1
TSC2
TSR2
TTC8
TULP3
TXNDC15
TXNL4A
UBAC2
UBE2A
UBE2T
UBE4B
UBR1
UFD1
UGGT1
USP18
USP9X
VAC14
VHL
VIPAS39
VPS33A
VPS33B
VPS35L
VPS37D
WAC
WASHC5
WBP11
WBP4
WDPCP
WDR35
WDR83OS
WFS1
WLS
WNT3
WNT4
WSB2
WT1
XRCC2
XRCC4
YY1
YY1AP1
ZEB2
ZFX
ZIC2
ZIC3
ZMYM2
ZMYM3
ZNF423
ZNF687
ZNF699
ZRSR2
