gene	ensembl_id	phenotype	trait_type	n_cases	burden_set	P_SKATO	P_Burden	P_SKAT	BETA	n_variants
TMEM216	ENSG00000187049	Q61 cystic kidney disease	icd_first_occurrence	735	missense|LC	0.458242289903091	0.292941759978786	0.323847618512826	-0.0247066273334898	80
ANKS6	ENSG00000165138	Microalbumin in urine	continuous	119013	missense|LC	0.462487037185945	0.28803648996179	0.746417306124029	-0.000618467936087748	524
BBS9	ENSG00000122507	N23 unspecified renal colic	icd_first_occurrence	4304	missense|LC	0.463148350003014	0.818160095206752	0.290219371319551	-0.000793110663719012	436
PKD2	ENSG00000118762	N19 unspecified renal failure	icd_first_occurrence	2345	missense|LC	0.463510398874592	0.289026867659271	0.990180454757228	-0.00538950996563534	480
CC2D2A	ENSG00000048342	Microalbumin in urine	continuous	119013	missense|LC	0.464355193951319	0.282071854355244	0.490525689078501	-0.000708886322370478	757
BBS10	ENSG00000179941	Creatinine	continuous	376624	missense|LC	0.468069128507083	0.32084791605434	0.299034729356768	-0.000329261309717502	369
NPHP3	ENSG00000113971	C64 Malignant neoplasm of kidney	icd10	985	missense|LC	0.468489484369947	0.30283094421172	0.311043455861824	0.00572272962686548	626
MKS1	ENSG00000011143	N28 other disorders of kidney and ureter	icd_first_occurrence	5275	missense|LC	0.470175889143138	0.565589222112671	0.294102008131643	0.00183422290547904	315
ANKS6	ENSG00000165138	N25 impaired renal tubular function	icd_first_occurrence	160	missense|LC	0.47226750629568	0.293315349985399	0.352940658864798	-0.0163646647939473	524
ALG9	ENSG00000086848	N17 acute renal failure	icd_first_occurrence	7312	missense|LC	0.472515929103929	0.6591285782266	0.308600581063735	-0.00186758850998229	291
ZNF423	ENSG00000102935	N08 glomerular disorders in dis. class. elsewhere	icd_first_occurrence	531	missense|LC	0.473286898103787	0.827295645013272	0.285445380427449	0.00214571239089041	669
DYNC2I1	ENSG00000126870	Creatinine	continuous	376624	missense|LC	0.474333643486488	0.462912789147801	0.293493598092417	0.000182534634029428	604
MKS1	ENSG00000011143	C64 Malignant neoplasm of kidney	icd10	985	missense|LC	0.474532357084381	0.297212069092028	0.696810533565813	-0.00763330487512407	315
BBS9	ENSG00000122507	N19 unspecified renal failure	icd_first_occurrence	2345	missense|LC	0.475041957960841	0.733064827977884	0.298663469409304	0.00159011268114504	436
DNAJB11	ENSG00000090520	N23 unspecified renal colic	icd_first_occurrence	4304	missense|LC	0.475300210230004	0.285877052390916	0.714022613338283	-0.0148881145248096	165
RPGRIP1L	ENSG00000103494	N28 other disorders of kidney and ureter	icd_first_occurrence	5275	missense|LC	0.478265743921328	0.288625909029123	0.650785712456301	-0.00297803482650093	625
ANKS6	ENSG00000165138	Creatinine (enzymatic) in urine	continuous	383774	missense|LC	0.478658567124178	0.299190294390901	0.6691126953115	-0.000310930273616005	524
