outcome	method	estimate_risk_difference	se	ci_low	ci_high	p_value	fraction_clipped
kidney anomaly	AIPW_counts_only	0.03840045096871852	0.012846702120676906	0.013220914812191783	0.06357998712524525	0.0027977390492919243	0.01922446750409612
kidney anomaly	AIPW_counts_plus_each_organ_system	-0.0106993770618827	0.010461718215554928	-0.031204344764370357	0.009805590640604957	0.3064416714799515	0.13063899508465318
kidney anomaly	logistic_counts_only_OR	1.7720032277945374	0.07845967430980665			3.0588666883341904e-13	
kidney anomaly	unadjusted_risk_difference	0.19495296439413712					
chronic kidney disease	AIPW_counts_only	-0.003034003584865272	0.0068132902513767975	-0.016388052477563794	0.010320045307833252	0.6560981492450715	0.01878754778809394
chronic kidney disease	AIPW_counts_plus_each_organ_system	-0.015190833675952056	0.0057157654314755925	-0.026393733921644215	-0.0039879334302598945	0.007867410052428268	0.12681594756963407
chronic kidney disease	logistic_counts_only_OR	0.946218709094626	0.13306685561028492			0.6778184622483843	
chronic kidney disease	unadjusted_risk_difference	0.020595534672198428					
