gene	ensembl_id	phenotype	trait_type	n_cases	burden_set	P_SKATO	P_Burden	P_SKAT	BETA	n_variants
ERCC6	ENSG00000225830	Microalbumin in urine	continuous	119013	pLoF	1.0	0.900528554682982	0.812150894757026	0.000268970185731019	116
ERCC6	ENSG00000225830	C64 Malignant neoplasm of kidney	icd10	985	pLoF	1.0	0.964805253793837	0.815023148147509	0.00105780742306684	116
ERCC6	ENSG00000225830	I12 hypertensive renal disease	icd_first_occurrence	1513	pLoF	1.0	0.833767169273764	0.944937363122505	-0.00397525052068033	116
ERCC6	ENSG00000225830	N23 unspecified renal colic	icd_first_occurrence	4304	pLoF	1.0	0.770736634975422	0.974922032625603	0.003276033054647	116
BICC1	ENSG00000122870	Creatinine (enzymatic) in urine	continuous	383774	pLoF	1.0	0.875529282839611	0.829277262057546	0.0007989212011313	31
BICC1	ENSG00000122870	N04 nephrotic syndrome	icd_first_occurrence	242	pLoF	1.0	0.867104185197626	1.0	-0.0364660399035188	31
BICC1	ENSG00000122870	N08 glomerular disorders in dis. class. elsewhere	icd_first_occurrence	531	pLoF	1.0	0.79577722519592	1.0	-0.0370239608790514	31
BICC1	ENSG00000122870	N25 impaired renal tubular function	icd_first_occurrence	160	pLoF	1.0	0.896679827629042	1.0	-0.0374610706789073	31
BICC1	ENSG00000122870	N26 unspecified contracted kidney	icd_first_occurrence	176	pLoF	1.0	0.889582103297363	1.0	-0.0378922170241144	31
BICC1	ENSG00000122870	Q60 renal agenesis / reduction defects	icd_first_occurrence	199	pLoF	1.0	0.879638792755267	1.0	-0.0361715313018035	31
BICC1	ENSG00000122870	Q61 cystic kidney disease	icd_first_occurrence	735	pLoF	1.0	0.776618499809778	1.0	-0.0363479210106731	31
BICC1	ENSG00000122870	Q63 other congenital malformations of kidney	icd_first_occurrence	452	pLoF	1.0	0.830561476272801	1.0	-0.0357552396967455	31
SMC3	ENSG00000108055	C64 Malignant neoplasm of kidney	icd10	985	pLoF	1.0	0.78062201418975	1.0	-0.0401595144714947	25
SMC3	ENSG00000108055	N04 nephrotic syndrome	icd_first_occurrence	242	pLoF	1.0	0.896750599757343	1.0	-0.0400362487648791	25
SMC3	ENSG00000108055	N08 glomerular disorders in dis. class. elsewhere	icd_first_occurrence	531	pLoF	1.0	0.844931794640235	1.0	-0.0400771997389295	25
SMC3	ENSG00000108055	N25 impaired renal tubular function	icd_first_occurrence	160	pLoF	1.0	0.910110539993379	1.0	-0.0400308028377224	25
SMC3	ENSG00000108055	N26 unspecified contracted kidney	icd_first_occurrence	176	pLoF	1.0	0.908348518717766	1.0	-0.0400374275582272	25
SMC3	ENSG00000108055	Q60 renal agenesis / reduction defects	icd_first_occurrence	199	pLoF	1.0	0.909337185617406	1.0	-0.0400278613214476	25
SMC3	ENSG00000108055	Q61 cystic kidney disease	icd_first_occurrence	735	pLoF	1.0	0.814636554249244	1.0	-0.0400954388213474	25
SMC3	ENSG00000108055	Q63 other congenital malformations of kidney	icd_first_occurrence	452	pLoF	1.0	0.856632720948584	1.0	-0.0400580307370198	25
BBIP1	ENSG00000214413	N04 nephrotic syndrome	icd_first_occurrence	242	pLoF	1.0	0.897405014381991	0.999999491886852	-0.026713393041571	8
BBIP1	ENSG00000214413	N08 glomerular disorders in dis. class. elsewhere	icd_first_occurrence	531	pLoF	1.0	0.841074150512573	0.999978400270815	-0.0272929164906664	8
BBIP1	ENSG00000214413	N25 impaired renal tubular function	icd_first_occurrence	160	pLoF	1.0	0.906467404915235	1.0	-0.0270611349720581	8
