term,id,n_organ,overlap,OR,p
Abnormal eyebrow morphology,HP:0000534,732,432,3.879087947882736,3.906965996989024e-62
Abnormal lower lip morphology,HP:0000178,265,165,3.8717056856187293,3.837059250379892e-26
Abnormal upper lip morphology,HP:0000177,1029,583,3.83777808311578,1.4248913115919325e-78
Abnormal large intestine morphology,HP:0002250,458,278,3.830937449750764,1.6168878808270303e-41
Abnormal long bone morphology,HP:0011314,819,476,3.8268753447324877,1.9164092274185788e-66
Abnormal skeletal muscle morphology,HP:0011805,2016,996,3.8058823529411763,3.7322517469995003e-106
Abnormal forehead morphology,HP:0000290,1274,696,3.7848353888785193,4.838594430738237e-88
Abnormal vertebral body morphology,HP:0003312,359,219,3.7647070486765144,7.552093226867577e-33
Abnormal ocular adnexa morphology,HP:0030669,1697,874,3.76282699365259,6.448989347663891e-100
Abnormal middle ear morphology,HP:0008609,411,249,3.7538126361655775,8.820114752336264e-37
Abnormal oral morphology,HP:0031816,2382,1113,3.7503900493126054,2.128251252450235e-104
Abnormal oral cavity morphology,HP:0000163,2382,1113,3.7503900493126054,2.128251252450235e-104
Abnormal earlobe morphology,HP:0000363,159,99,3.750288276745676,5.402529262118892e-16
Abnormal lung morphology,HP:0002088,1342,722,3.7095673705206686,5.319676073258745e-88
Abnormal eyelid morphology,HP:0000492,1468,775,3.68352614115326,3.66191518383026e-91
Abnormal brain morphology,HP:0012443,2798,1227,3.6742737521738555,9.123822890468935e-97
Abnormal nervous system morphology,HP:0012639,3110,1303,3.6377408738813735,5.589773065910532e-89
Abnormal hip joint morphology,HP:0001384,404,241,3.589519103144442,5.287021324627252e-34
Abnormal foot morphology,HP:0001760,1629,828,3.4875216076058773,7.392834918949286e-88
Abnormal metatarsal morphology,HP:0001832,164,99,3.456926033607648,1.011433910464412e-14
Abnormal pelvic girdle bone morphology,HP:0002644,664,378,3.424816992679707,6.850975073024893e-48
Abnormal anterior eye segment morphology,HP:0004328,1375,718,3.42355556848184,6.625067659346494e-79
Abnormal dental morphology,HP:0006482,315,186,3.4031428481272283,2.323456811406571e-25
Abnormal scalp morphology,HP:0001965,482,279,3.3886881427394298,3.029998969497968e-36
Abnormal liver morphology,HP:0410042,951,519,3.3440938747687214,1.974353790371128e-60
Abnormal abdomen morphology,HP:0001438,907,497,3.333276010318143,3.91152502070662e-58
Abnormal skin adnexa morphology,HP:0011138,1595,795,3.2259537572254335,6.1531533847088105e-77
Abnormal hip bone morphology,HP:0003272,603,338,3.2253418205691777,2.6051758048149167e-40
Abnormal tracheobronchial morphology,HP:0005607,402,229,3.1774336229565807,4.209418601087093e-28
Abnormal maxilla morphology,HP:0000326,155,90,3.124644781969623,4.040404723433971e-12
Abnormal hair morphology,HP:0001595,1431,720,3.1209264745488823,3.1168849134236914e-69
Abnormal lens morphology,HP:0000517,865,465,3.120753138075314,2.1215409182353917e-50
Abnormal uvea morphology,HP:0000553,623,343,3.0955201214882306,1.165392874573337e-38
Abnormal cerebral morphology,HP:0002060,2193,996,3.0213032581453634,6.655633612166582e-75
Abnormal cornea morphology,HP:0000481,765,409,2.9865276318271228,1.20410134425837e-42
Abnormal joint morphology,HP:0001367,1319,662,2.9794169770286385,3.530876078555555e-61
Abnormal diaphysis morphology,HP:0000940,352,196,2.962519265797954,2.298244681099337e-22
Abnormal knee morphology,HP:0034669,394,218,2.9479889042995837,2.1646121547821895e-24
Abnormal forebrain morphology,HP:0100547,2219,998,2.9471979532402495,8.18874078063436e-72
Abnormal fingernail morphology,HP:0001231,196,110,2.9063765941485373,3.4775219179783897e-13
Abnormal tongue morphology,HP:0030809,407,223,2.8877794922997793,3.501607425169466e-24
Abnormal cerebral cortex morphology,HP:0002538,732,387,2.875282625772738,1.544514913242853e-38
Abnormal skin morphology,HP:0011121,2082,943,2.85095198386605,3.055009124678528e-67
Abnormal nail morphology,HP:0001597,550,292,2.7715444943107124,9.118904793872372e-29
Abnormal corpus callosum morphology,HP:0001273,997,505,2.769119769119769,5.99908522732153e-45
Abnormal tendon morphology,HP:0100261,923,471,2.7659072471103108,1.5975810927145513e-42
Abnormal axial muscle morphology,HP:0040286,609,320,2.7425502246552704,1.3393492818035267e-30
Abnormal palm morphology,HP:0100871,544,287,2.725540651984776,1.2342515510615477e-27
Abnormal nasopharynx morphology,HP:0001739,210,114,2.6976067270375164,2.6186557686425237e-12
Abnormal breast morphology,HP:0031093,465,246,2.6922361512080757,9.091655422160046e-24
Abnormal esophagus morphology,HP:0002031,252,136,2.6863969590008145,3.2046507454607007e-14
Abnormal femur morphology,HP:0002823,321,171,2.6474949630624582,6.060421396352328e-17
Abnormal cerebellar vermis morphology,HP:0002334,401,211,2.619585194871236,5.646619425148584e-20
Abnormal retinal morphology,HP:0000479,1037,512,2.619040982246557,2.1365554773555356e-41
Abnormal cerebral white matter morphology,HP:0002500,1192,579,2.6169126224434205,3.752117072805083e-45
Abnormal posterior eye segment morphology,HP:0004329,1475,695,2.611212966653381,1.5049963178097545e-50
Abnormal fundus morphology,HP:0001098,1469,692,2.604651286469468,3.4137035934066037e-50
Abnormal chorioretinal morphology,HP:0000532,170,91,2.590854450549007,1.2288916921263498e-09
Abnormal dental enamel morphology,HP:0000682,217,115,2.5584745224950822,1.7052521863634042e-11
Abnormal paranasal sinus morphology,HP:0000245,202,107,2.5478089944758873,9.315060635204195e-11
Abnormal pulmonary interstitial morphology,HP:0006530,174,92,2.5229591836734695,2.3101945964312455e-09
Abnormal epiphysis morphology,HP:0005930,289,151,2.516159084142488,4.2366770974887214e-14
Abnormal pharynx morphology,HP:0033151,228,119,2.4789157523114382,2.8020984384074692e-11
Abnormal bronchus morphology,HP:0025426,234,122,2.47603566784321,1.7046998772230236e-11
Abnormal muscle fiber morphology,HP:0004303,315,163,2.4756882185423477,1.1602271384871191e-14
Abnormal cerebral subcortex morphology,HP:0010993,1287,605,2.4603271670998317,1.4677823615288664e-41
Abnormal femoral neck morphology,HP:0003367,171,88,2.37744872620252,2.8718903203908666e-08
Abnormal sclera morphology,HP:0000591,158,81,2.3523930154709127,1.2837929086512852e-07
Abnormal odontoid tissue morphology,HP:3000050,236,120,2.3457232422749663,2.0914899923662085e-10
Abnormal periventricular white matter morphology,HP:0002518,151,77,2.322975533967322,3.499923999196312e-07
Abnormal ovarian morphology,HP:0031065,181,92,2.3199094244439347,3.0246327574065105e-08
Abnormal brainstem morphology,HP:0002363,298,149,2.2892124420913302,6.19059539817466e-12
Abnormal choroid morphology,HP:0000610,207,103,2.2288424484956275,1.8984501950819505e-08
Abnormal hindbrain morphology,HP:0011282,1077,496,2.220061394325461,1.4725126988538115e-29
Abnormal metencephalon morphology,HP:0011283,1077,496,2.220061394325461,1.4725126988538115e-29
Abnormal cerebellum morphology,HP:0001317,1070,493,2.2191475869484183,2.0928442479001762e-29
Abnormal optic nerve morphology,HP:0000587,949,439,2.184037513449278,3.9309403294140255e-26
Abnormal eyelash morphology,HP:0000499,314,152,2.1440875004093396,8.967716097458047e-11
Abnormal femoral neck/head morphology,HP:0003366,213,103,2.103660886319846,1.23384227248841e-07
Abnormal thyroid morphology,HP:0011772,178,86,2.0881166786365393,1.4587168443088695e-06
Abnormal pituitary gland morphology,HP:0012503,370,176,2.0870870036402036,1.6442772959797153e-11
Abnormal renal cortex morphology,HP:0011035,262,125,2.0631731615112106,1.4476599011319382e-08
Abnormal scrotum morphology,HP:0000045,152,73,2.0548044634809726,1.1929027025588816e-05
Abnormal nephron morphology,HP:0012575,281,132,2.0054640008433187,1.8684571713947068e-08
Abnormal metaphysis morphology,HP:0000944,242,114,2.0047703751617076,1.5273588337612598e-07
Abnormal optic disc morphology,HP:0012795,813,365,1.9880722559293988,1.872491629825685e-18
Abnormal glial cell morphology,HP:0100705,163,76,1.9418030883548125,2.9612223872339585e-05
Abnormal platelet morphology,HP:0011875,480,218,1.9307048099014303,1.4799771129038295e-11
Abnormal erythrocyte morphology,HP:0001877,751,329,1.866169825630873,1.2774424882524917e-14
Abnormal conjunctiva morphology,HP:0000502,193,87,1.8272619318931498,3.936682065483681e-05
Abnormal oral mucosa morphology,HP:0011830,389,172,1.8063153461176353,3.1381441716575044e-08
Abnormal cellular immune system morphology,HP:0010987,675,291,1.7846512052593133,7.1812505055074366e-12
Abnormal leukocyte morphology,HP:0001881,675,291,1.7846512052593133,7.1812505055074366e-12
Abnormal neutrophil morphology,HP:0011992,255,112,1.7531305903398926,1.3414489492724966e-05
Abnormal immune system morphology,HP:0032251,705,297,1.70903284277761,1.095881988713919e-10
Abnormal appendicular muscle morphology,HP:0009127,693,284,1.6143245010519134,1.0051673519676949e-08
Abnormal renal glomerulus morphology,HP:0000095,221,93,1.6135529674537332,0.00046426825864850024
Abnormal renal corpuscle morphology,HP:0031263,222,93,1.6005847345690922,0.0005572754698136237
Abnormal myeloid leukocyte morphology,HP:0010974,365,149,1.5485452361693262,6.220437412506687e-05
Abnormal granulocyte morphology,HP:0001911,335,136,1.5287197140558435,0.00017715828035588425
Abnormal basal ganglia morphology,HP:0002134,200,81,1.504031378225768,0.003844274327093051
Abnormal peripheral nervous system morphology,HP:0000759,424,161,1.3660437756983743,0.0018996611366568611
Abnormal bone marrow cell morphology,HP:0005561,251,95,1.3432456787089375,0.016977623129927715
Abnormal lymphocyte morphology,HP:0004332,276,88,1.0183530940393049,0.46899704091035643
Abnormal macular morphology,HP:0001103,281,86,0.9563027400384453,0.6538698749667422
