outcome	model	OR	lower	upper	p
kidney anomaly	unadjusted	4.213033044584482	3.691009369416293	4.808887124978438	1.9586869296859144e-94
kidney anomaly	adjusted	1.7720032277945374	1.5194215634800998	2.0665729082601536	3.0588666883341904e-13
chronic kidney disease	unadjusted	1.5686493362086393	1.2462022352769044	1.9745276250776824	0.00012603283976594427
chronic kidney disease	adjusted	0.946218709094626	0.7289919568941083	1.2281752040931695	0.6778184622483843
